passport_id,product_id,qr_text,nfc_tag_uid,c2pa_ref
PS-P0001,P0001,tohfa://passport/P0001,CF1CB80B2B73A41B,c2pa://p0001
PS-P0002,P0002,tohfa://passport/P0002,A5EF542E196161A9,c2pa://p0002
PS-P0003,P0003,tohfa://passport/P0003,CF8169B1A83BDCEC,c2pa://p0003
PS-P0004,P0004,tohfa://passport/P0004,A5FFB82D2D59A32A,c2pa://p0004
PS-P0005,P0005,tohfa://passport/P0005,99ED5EBE1BD812CB,c2pa://p0005
PS-P0006,P0006,tohfa://passport/P0006,504E1427BBC14EBB,c2pa://p0006
PS-P0007,P0007,tohfa://passport/P0007,E24BCA87305FC388,c2pa://p0007
PS-P0008,P0008,tohfa://passport/P0008,E69F6342E5E2AB29,c2pa://p0008
PS-P0009,P0009,tohfa://passport/P0009,955B73647F0BBE42,c2pa://p0009
PS-P0010,P0010,tohfa://passport/P0010,29CFDD24A2EEB454,c2pa://p0010
PS-P0011,P0011,tohfa://passport/P0011,D134955A7B928684,c2pa://p0011
PS-P0012,P0012,tohfa://passport/P0012,92545A102186D0F9,c2pa://p0012
PS-P0013,P0013,tohfa://passport/P0013,9F7C9E215EDFE6A4,c2pa://p0013
PS-P0014,P0014,tohfa://passport/P0014,AABC4B3A7E38E743,c2pa://p0014
PS-P0015,P0015,tohfa://passport/P0015,19CD75AA65FEF9F0,c2pa://p0015
PS-P0016,P0016,tohfa://passport/P0016,2CE76B119FF903D4,c2pa://p0016
PS-P0017,P0017,tohfa://passport/P0017,8BCB1C16B92CE834,c2pa://p0017
PS-P0018,P0018,tohfa://passport/P0018,3CBAB46C1114AFE4,c2pa://p0018
PS-P0019,P0019,tohfa://passport/P0019,4AA5C9AF9F0BA3D9,c2pa://p0019
PS-P0020,P0020,tohfa://passport/P0020,0F871F5C471360EA,c2pa://p0020
PS-P0021,P0021,tohfa://passport/P0021,D4D6DF146AFCA5EA,c2pa://p0021
PS-P0022,P0022,tohfa://passport/P0022,B8F67897996FAFB8,c2pa://p0022
PS-P0023,P0023,tohfa://passport/P0023,93CCB49192BE8F66,c2pa://p0023
PS-P0024,P0024,tohfa://passport/P0024,88437717713DAF34,c2pa://p0024
PS-P0025,P0025,tohfa://passport/P0025,05DFF69A912715D5,c2pa://p0025
PS-P0026,P0026,tohfa://passport/P0026,1CF591093A9EF4E8,c2pa://p0026
PS-P0027,P0027,tohfa://passport/P0027,63A5E850A965CDA2,c2pa://p0027
PS-P0028,P0028,tohfa://passport/P0028,C354FA708C7E8A90,c2pa://p0028
PS-P0029,P0029,tohfa://passport/P0029,8B713E95C939B774,c2pa://p0029
PS-P0030,P0030,tohfa://passport/P0030,F4EBDF672EB23164,c2pa://p0030
PS-P0031,P0031,tohfa://passport/P0031,5AE36F2E1E4DE1E9,c2pa://p0031
PS-P0032,P0032,tohfa://passport/P0032,0C80621DB212F19D,c2pa://p0032
PS-P0033,P0033,tohfa://passport/P0033,54DBCECC24B35C47,c2pa://p0033
PS-P0034,P0034,tohfa://passport/P0034,009EDC77EB48631D,c2pa://p0034
PS-P0035,P0035,tohfa://passport/P0035,076231E171CE7614,c2pa://p0035
PS-P0036,P0036,tohfa://passport/P0036,97AA7947D9815DF1,c2pa://p0036
PS-P0037,P0037,tohfa://passport/P0037,BCADD49C5F7794E1,c2pa://p0037
PS-P0038,P0038,tohfa://passport/P0038,DD4C786A2EB2618C,c2pa://p0038
PS-P0039,P0039,tohfa://passport/P0039,1266F6A90663F76C,c2pa://p0039
PS-P0040,P0040,tohfa://passport/P0040,7A9CEB98BFE3FA6B,c2pa://p0040
PS-P0041,P0041,tohfa://passport/P0041,AD17408D946A7C7F,c2pa://p0041
PS-P0042,P0042,tohfa://passport/P0042,A8FFE5B54F511210,c2pa://p0042
PS-P0043,P0043,tohfa://passport/P0043,D472406EB1FF00D0,c2pa://p0043
PS-P0044,P0044,tohfa://passport/P0044,0890D5334768B8C2,c2pa://p0044
PS-P0045,P0045,tohfa://passport/P0045,BCE779212CCCF105,c2pa://p0045
PS-P0046,P0046,tohfa://passport/P0046,2FDA3176F812815A,c2pa://p0046
PS-P0047,P0047,tohfa://passport/P0047,064C2957CAC42B13,c2pa://p0047
PS-P0048,P0048,tohfa://passport/P0048,D72ACA08EF7BCD5C,c2pa://p0048
PS-P0049,P0049,tohfa://passport/P0049,2972284C4CAB3209,c2pa://p0049
PS-P0050,P0050,tohfa://passport/P0050,EB83425DED302B2A,c2pa://p0050
PS-P0051,P0051,tohfa://passport/P0051,C09DC275C54898F4,c2pa://p0051
PS-P0052,P0052,tohfa://passport/P0052,25D8D9F2B87F6E34,c2pa://p0052
PS-P0053,P0053,tohfa://passport/P0053,90CACAEAD49A6FA5,c2pa://p0053
PS-P0054,P0054,tohfa://passport/P0054,CA9F7AC8CB3650E6,c2pa://p0054
PS-P0055,P0055,tohfa://passport/P0055,E92DF49784DC2EFC,c2pa://p0055
PS-P0056,P0056,tohfa://passport/P0056,D1B237B51CAD3038,c2pa://p0056
PS-P0057,P0057,tohfa://passport/P0057,77EBCE4B0F39D234,c2pa://p0057
PS-P0058,P0058,tohfa://passport/P0058,B9AE6FBF3EEA2913,c2pa://p0058
PS-P0059,P0059,tohfa://passport/P0059,0A35755ADE7C55DC,c2pa://p0059
PS-P0060,P0060,tohfa://passport/P0060,06EDC0668235BA6E,c2pa://p0060
PS-P0061,P0061,tohfa://passport/P0061,38FACC3BBE5924A3,c2pa://p0061
PS-P0062,P0062,tohfa://passport/P0062,7935B4CD4CD5F55F,c2pa://p0062
PS-P0063,P0063,tohfa://passport/P0063,945AE1B0F46CFDFD,c2pa://p0063
PS-P0064,P0064,tohfa://passport/P0064,EF5207918795EF33,c2pa://p0064
PS-P0065,P0065,tohfa://passport/P0065,8B1E6D3791E8B2E3,c2pa://p0065
